type,method,metric,score
randomly_missing_50,scDREAMER,NMI_cluster/label,0.77198546
randomly_missing_50,scDREAMER,ARI_cluster/label,0.635055222
randomly_missing_50,scDREAMER,ASW_label,0.734103584
randomly_missing_50,scDREAMER,ASW_label/batch,0.939063756
randomly_missing_50,scDREAMER,isolated_label_F1,0.779149097
randomly_missing_50,scDREAMER,isolated_label_silhouette,0.728411369
randomly_missing_50,scDREAMER,graph_conn,0.999775835
randomly_missing_50,ItClust,NMI_cluster/label,0.501843223
randomly_missing_50,ItClust,ARI_cluster/label,0.375276532
randomly_missing_50,ItClust,ASW_label,0.618435046
randomly_missing_50,ItClust,ASW_label/batch,0.916753111
randomly_missing_50,ItClust,isolated_label_F1,0.681621857
randomly_missing_50,ItClust,isolated_label_silhouette,0.619311364
randomly_missing_50,ItClust,graph_conn,0.837615968
randomly_missing_70,scDREAMER,NMI_cluster/label,0.798670096
randomly_missing_70,scDREAMER,ARI_cluster/label,0.703578651
randomly_missing_70,scDREAMER,ASW_label,0.725192039
randomly_missing_70,scDREAMER,ASW_label/batch,0.947202986
randomly_missing_70,scDREAMER,isolated_label_F1,0.81346573
randomly_missing_70,scDREAMER,isolated_label_silhouette,0.719818794
randomly_missing_70,scDREAMER,graph_conn,1
randomly_missing_70,ItClust,NMI_cluster/label,0.510052395
randomly_missing_70,ItClust,ARI_cluster/label,0.381154703
randomly_missing_70,ItClust,ASW_label,0.548263814
randomly_missing_70,ItClust,ASW_label/batch,0.896214636
randomly_missing_70,ItClust,isolated_label_F1,0.636681115
randomly_missing_70,ItClust,isolated_label_silhouette,0.539852046
randomly_missing_70,ItClust,graph_conn,0.773026536
full_annotated_supervised,scDREAMER,pos_rate,0.999825996
full_annotated_supervised,ItClust,pos_rate,0.999651992
randomly_missing_30,scDREAMER,pos_rate,0.996867931
randomly_missing_30,ItClust,pos_rate,0.968853315
randomly_missing_50,scDREAMER,pos_rate,0.99634592
randomly_missing_50,ItClust,pos_rate,0.93092048
randomly_missing_70,scDREAMER,pos_rate,0.995301897
randomly_missing_70,ItClust,pos_rate,0.919610231
full_annotated_supervised,scDREAMER,truepos_rate,0.551766139
