type,method,metric,score
randomly_missing_70,scGEN,isolated_label_silhouette,0.575956144
randomly_missing_70,STACAS,isolated_label_silhouette,0.622090286
randomly_missing_70,scANVI,graph_conn,0.98935145
randomly_missing_70,scGEN,graph_conn,0.959530673
randomly_missing_70,STACAS,graph_conn,0.983332946
singleR,scANVI,NMI_cluster/label,0.801234776
singleR,scGEN,NMI_cluster/label,0.731760008
singleR,STACAS,NMI_cluster/label,0.794347123
singleR,scANVI,ARI_cluster/label,0.699444136
singleR,scGEN,ARI_cluster/label,0.539049358
singleR,STACAS,ARI_cluster/label,0.607344434
singleR,scANVI,ASW_label,0.570077147
singleR,scGEN,ASW_label,0.559520967
singleR,STACAS,ASW_label,0.617062557
singleR,scANVI,ASW_label/batch,0.852928166
singleR,scGEN,ASW_label/batch,0.774972252
singleR,STACAS,ASW_label/batch,0.779651699
singleR,scANVI,isolated_label_F1,0.873468976
singleR,scGEN,isolated_label_F1,0.786425808
singleR,STACAS,isolated_label_F1,0.829688998
singleR,scANVI,isolated_label_silhouette,0.574699818
singleR,scGEN,isolated_label_silhouette,0.554924589
singleR,STACAS,isolated_label_silhouette,0.621682884
singleR,scANVI,graph_conn,0.986360409
singleR,scGEN,graph_conn,0.984800268
singleR,STACAS,graph_conn,0.984493772
full_annotated_supervised,scANVI,NMI_cluster/label,0.852002908
full_annotated_supervised,scGEN,NMI_cluster/label,0.863034649
full_annotated_supervised,STACAS,NMI_cluster/label,0.789561757
full_annotated_supervised,scANVI,ARI_cluster/label,0.742785049
full_annotated_supervised,scGEN,ARI_cluster/label,0.76249847
full_annotated_supervised,STACAS,ARI_cluster/label,0.588132066
full_annotated_supervised,scANVI,ASW_label,0.632002216
full_annotated_supervised,scGEN,ASW_label,0.608758749
full_annotated_supervised,STACAS,ASW_label,0.620782007
full_annotated_supervised,scANVI,ASW_label/batch,0.84483864
full_annotated_supervised,scGEN,ASW_label/batch,0.875717317
full_annotated_supervised,STACAS,ASW_label/batch,0.776540529
full_annotated_supervised,scANVI,isolated_label_F1,0.929893861
full_annotated_supervised,scGEN,isolated_label_F1,0.936764009
full_annotated_supervised,STACAS,isolated_label_F1,0.829289941
full_annotated_supervised,scANVI,isolated_label_silhouette,0.639669009
full_annotated_supervised,scGEN,isolated_label_silhouette,0.609685494
full_annotated_supervised,STACAS,isolated_label_silhouette,0.625132771
full_annotated_supervised,scANVI,graph_conn,0.992816672
full_annotated_supervised,scGEN,graph_conn,0.990760614
full_annotated_supervised,STACAS,graph_conn,0.984243829
unsupervised,scVI,NMI_cluster/label,0.789136951
unsupervised,Harmony,NMI_cluster/label,0.803849935
unsupervised,scCRAFT,NMI_cluster/label,0.808730976
unsupervised,Seurat,NMI_cluster/label,0.764372581
unsupervised,scVI,ARI_cluster/label,0.592916958
unsupervised,Harmony,ARI_cluster/label,0.682091616
unsupervised,scCRAFT,ARI_cluster/label,0.593072634
unsupervised,Seurat,ARI_cluster/label,0.535594482
unsupervised,scVI,ASW_label,0.578636369
unsupervised,Harmony,ASW_label,0.619405241
unsupervised,scCRAFT,ASW_label,0.600175753
unsupervised,Seurat,ASW_label,0.614284921
unsupervised,scVI,ASW_label/batch,0.857767368
unsupervised,Harmony,ASW_label/batch,0.83753772
unsupervised,scCRAFT,ASW_label/batch,0.835347036
unsupervised,Seurat,ASW_label/batch,0.611092462
unsupervised,scVI,isolated_label_F1,0.832875772
unsupervised,Harmony,isolated_label_F1,0.860047254
unsupervised,scCRAFT,isolated_label_F1,0.839496131
unsupervised,Seurat,isolated_label_F1,0.806708704
unsupervised,scVI,isolated_label_silhouette,0.585027458
unsupervised,Harmony,isolated_label_silhouette,0.617894961
unsupervised,scCRAFT,isolated_label_silhouette,0.605084641
unsupervised,Seurat,isolated_label_silhouette,0.61493626
unsupervised,scVI,graph_conn,0.985357175
unsupervised,Harmony,graph_conn,0.964832352
unsupervised,scCRAFT,graph_conn,0.976642545
unsupervised,Seurat,graph_conn,0.944793829
full_annotated_supervised,scANVI,lisi_c,0.994715502
full_annotated_supervised,scGEN,lisi_c,0.99290379
full_annotated_supervised,STACAS,lisi_c,0.991132904
CellAssign,scANVI,lisi_c,0.988541287
CellAssign,scGEN,lisi_c,0.990257456
CellAssign,STACAS,lisi_c,0.991010174
Azimuth,scANVI,lisi_c,0.990331802
Azimuth,scGEN,lisi_c,0.989462256
Azimuth,STACAS,lisi_c,0.991263428
singleR,scANVI,lisi_c,0.987403488
singleR,scGEN,lisi_c,0.988352648
singleR,STACAS,lisi_c,0.991013296
mixing_at_edge_30,scANVI,lisi_c,0.992228761
mixing_at_edge_30,scGEN,lisi_c,0.991694168
mixing_at_edge_30,STACAS,lisi_c,0.99100015
mixing_at_edge_50,scANVI,lisi_c,0.992990956
mixing_at_edge_50,scGEN,lisi_c,0.991790301
mixing_at_edge_50,STACAS,lisi_c,0.991078532
mixing_at_edge_70,scANVI,lisi_c,0.993782257
mixing_at_edge_70,scGEN,lisi_c,0.992038166
mixing_at_edge_70,STACAS,lisi_c,0.991062576
randomly_missing_30,scANVI,lisi_c,0.9944678
randomly_missing_30,scGEN,lisi_c,0.992106857
randomly_missing_30,STACAS,lisi_c,0.990973927
randomly_missing_50,scANVI,lisi_c,0.994107164
randomly_missing_50,scGEN,lisi_c,0.991203103
randomly_missing_50,STACAS,lisi_c,0.991025727
randomly_missing_70,scANVI,lisi_c,0.993661066
randomly_missing_70,scGEN,lisi_c,0.990713927
randomly_missing_70,STACAS,lisi_c,0.990920228
full_annotated_supervised,scANVI,lisi_b,0.119961328
full_annotated_supervised,scGEN,lisi_b,0.252080715
full_annotated_supervised,STACAS,lisi_b,0.064082747
CellAssign,scANVI,lisi_b,0.113268102
CellAssign,scGEN,lisi_b,0.054567264
CellAssign,STACAS,lisi_b,0.061045518
Azimuth,scANVI,lisi_b,0.111355437
Azimuth,scGEN,lisi_b,0.118800945
Azimuth,STACAS,lisi_b,0.092437067
singleR,scANVI,lisi_b,0.128508245
singleR,scGEN,lisi_b,0.08029689
singleR,STACAS,lisi_b,0.059910579
mixing_at_edge_30,scANVI,lisi_b,0.123787524
mixing_at_edge_30,scGEN,lisi_b,0.265934307
mixing_at_edge_30,STACAS,lisi_b,0.06418767
mixing_at_edge_50,scANVI,lisi_b,0.123592267
mixing_at_edge_50,scGEN,lisi_b,0.26143876
mixing_at_edge_50,STACAS,lisi_b,0.065526262
mixing_at_edge_70,scANVI,lisi_b,0.122349201
mixing_at_edge_70,scGEN,lisi_b,0.258411568
mixing_at_edge_70,STACAS,lisi_b,0.065598082
randomly_missing_30,scANVI,lisi_b,0.120398688
randomly_missing_30,scGEN,lisi_b,0.229714026
randomly_missing_30,STACAS,lisi_b,0.061290027
randomly_missing_50,scANVI,lisi_b,0.123798845
randomly_missing_50,scGEN,lisi_b,0.199443062
randomly_missing_50,STACAS,lisi_b,0.05447445
randomly_missing_70,scANVI,lisi_b,0.121194706
randomly_missing_70,scGEN,lisi_b,0.150197145
randomly_missing_70,STACAS,lisi_b,0.059942078
full_annotated_supervised,scANVI,lisi_f1,0.214102222
full_annotated_supervised,scGEN,lisi_f1,0.402080341
full_annotated_supervised,STACAS,lisi_f1,0.120382064
CellAssign,scANVI,lisi_f1,0.203247851
CellAssign,scGEN,lisi_f1,0.103434842
CellAssign,STACAS,lisi_f1,0.115006706
Azimuth,scANVI,lisi_f1,0.200199887
Azimuth,scGEN,lisi_f1,0.212132011
Azimuth,STACAS,lisi_f1,0.169104811
singleR,scANVI,lisi_f1,0.227418506
singleR,scGEN,lisi_f1,0.148526979
singleR,STACAS,lisi_f1,0.112990449
mixing_at_edge_30,scANVI,lisi_f1,0.220114246
mixing_at_edge_30,scGEN,lisi_f1,0.419401289
mixing_at_edge_30,STACAS,lisi_f1,0.120566196
mixing_at_edge_50,scANVI,lisi_f1,0.219824194
mixing_at_edge_50,scGEN,lisi_f1,0.413798936
mixing_at_edge_50,STACAS,lisi_f1,0.122925188
mixing_at_edge_70,scANVI,lisi_f1,0.217874811
mixing_at_edge_70,scGEN,lisi_f1,0.410019101
mixing_at_edge_70,STACAS,lisi_f1,0.123051433
randomly_missing_30,scANVI,lisi_f1,0.214792748
randomly_missing_30,scGEN,lisi_f1,0.373051179
randomly_missing_30,STACAS,lisi_f1,0.115440272
randomly_missing_50,scANVI,lisi_f1,0.220178293
randomly_missing_50,scGEN,lisi_f1,0.332069405
randomly_missing_50,STACAS,lisi_f1,0.103272257
randomly_missing_70,scANVI,lisi_f1,0.216039535
randomly_missing_70,scGEN,lisi_f1,0.260848382
randomly_missing_70,STACAS,lisi_f1,0.113045861
