type,metric,method,score
randomly_missing_30,graph_conn,scANVI,0.99278
randomly_missing_30,NMI_cluster/label,scGEN,0.786906
randomly_missing_30,ARI_cluster/label,scGEN,0.707991
randomly_missing_30,ASW_label,scGEN,0.580844
randomly_missing_30,ASW_label/batch,scGEN,0.945812
randomly_missing_30,isolated_label_F1,scGEN,0.720625
randomly_missing_30,isolated_label_silhouette,scGEN,0.590352
randomly_missing_30,graph_conn,scGEN,0.942832
randomly_missing_30,NMI_cluster/label,STACAS,0.805478
randomly_missing_30,ARI_cluster/label,STACAS,0.767702
randomly_missing_30,ASW_label,STACAS,0.598675
randomly_missing_30,ASW_label/batch,STACAS,0.899645
randomly_missing_30,isolated_label_F1,STACAS,0.843668
randomly_missing_30,isolated_label_silhouette,STACAS,0.649171
randomly_missing_30,graph_conn,STACAS,0.971138
randomly_missing_50,NMI_cluster/label,scANVI,0.843028
randomly_missing_50,ARI_cluster/label,scANVI,0.855993
randomly_missing_50,ASW_label,scANVI,0.634046
randomly_missing_50,ASW_label/batch,scANVI,0.875531
randomly_missing_50,isolated_label_F1,scANVI,0.898648
randomly_missing_50,isolated_label_silhouette,scANVI,0.694827
randomly_missing_50,graph_conn,scANVI,0.979447
randomly_missing_50,NMI_cluster/label,scGEN,0.762821
randomly_missing_50,ARI_cluster/label,scGEN,0.753175
randomly_missing_50,ASW_label,scGEN,0.560302
randomly_missing_50,ASW_label/batch,scGEN,0.933312
randomly_missing_50,isolated_label_F1,scGEN,0.58069
randomly_missing_50,isolated_label_silhouette,scGEN,0.584322
randomly_missing_50,graph_conn,scGEN,0.932698
randomly_missing_50,NMI_cluster/label,STACAS,0.831188
randomly_missing_50,ARI_cluster/label,STACAS,0.824959
randomly_missing_50,ASW_label,STACAS,0.597747
randomly_missing_50,ASW_label/batch,STACAS,0.899982
randomly_missing_50,isolated_label_F1,STACAS,0.844694
randomly_missing_50,isolated_label_silhouette,STACAS,0.650638
randomly_missing_50,graph_conn,STACAS,0.973292
