type,metric,method,score
partially_annotated_batches_70,isolated_label_silhouette,STACAS,0.699549
partially_annotated_batches_70,graph_conn,STACAS,0.987982
partially_annotated_batches_50,NMI_cluster/label,scANVI,0.923873
partially_annotated_batches_50,ARI_cluster/label,scANVI,0.950869
partially_annotated_batches_50,ASW_label,scANVI,0.593287
partially_annotated_batches_50,ASW_label/batch,scANVI,0.872088
partially_annotated_batches_50,isolated_label_F1,scANVI,0.089172
partially_annotated_batches_50,isolated_label_silhouette,scANVI,0.693752
partially_annotated_batches_50,graph_conn,scANVI,0.990826
partially_annotated_batches_50,NMI_cluster/label,scGEN,0.793415
partially_annotated_batches_50,ARI_cluster/label,scGEN,0.714036
partially_annotated_batches_50,ASW_label,scGEN,0.569778
partially_annotated_batches_50,ASW_label/batch,scGEN,0.884005
partially_annotated_batches_50,isolated_label_F1,scGEN,0.147368
partially_annotated_batches_50,isolated_label_silhouette,scGEN,0.723883
partially_annotated_batches_50,graph_conn,scGEN,0.947664
partially_annotated_batches_50,NMI_cluster/label,STACAS,0.925295
partially_annotated_batches_50,ARI_cluster/label,STACAS,0.955581
partially_annotated_batches_50,ASW_label,STACAS,0.677125
partially_annotated_batches_50,ASW_label/batch,STACAS,0.862592
partially_annotated_batches_50,isolated_label_F1,STACAS,0.12766
partially_annotated_batches_50,isolated_label_silhouette,STACAS,0.673373
partially_annotated_batches_50,graph_conn,STACAS,0.982845
partially_annotated_batches_30,NMI_cluster/label,scANVI,0.92146
partially_annotated_batches_30,ARI_cluster/label,scANVI,0.949376
partially_annotated_batches_30,ASW_label,scANVI,0.592155
partially_annotated_batches_30,ASW_label/batch,scANVI,0.877519
partially_annotated_batches_30,isolated_label_F1,scANVI,0.088608
partially_annotated_batches_30,isolated_label_silhouette,scANVI,0.715336
partially_annotated_batches_30,graph_conn,scANVI,0.996331
partially_annotated_batches_30,NMI_cluster/label,scGEN,0.840399
partially_annotated_batches_30,ARI_cluster/label,scGEN,0.750259
partially_annotated_batches_30,ASW_label,scGEN,0.579126
partially_annotated_batches_30,ASW_label/batch,scGEN,0.822735
partially_annotated_batches_30,isolated_label_F1,scGEN,0.103704
partially_annotated_batches_30,isolated_label_silhouette,scGEN,0.668942
partially_annotated_batches_30,graph_conn,scGEN,0.988717
partially_annotated_batches_30,NMI_cluster/label,STACAS,0.926197
partially_annotated_batches_30,ARI_cluster/label,STACAS,0.956576
partially_annotated_batches_30,ASW_label,STACAS,0.6803
partially_annotated_batches_30,ASW_label/batch,STACAS,0.855135
partially_annotated_batches_30,isolated_label_F1,STACAS,0.099291
partially_annotated_batches_30,isolated_label_silhouette,STACAS,0.67307
partially_annotated_batches_30,graph_conn,STACAS,0.983964
randomly_missing_30,NMI_cluster/label,scANVI,0.929312
randomly_missing_30,ARI_cluster/label,scANVI,0.954384
randomly_missing_30,ASW_label,scANVI,0.592273
randomly_missing_30,ASW_label/batch,scANVI,0.880726
randomly_missing_30,isolated_label_F1,scANVI,0.179487
randomly_missing_30,isolated_label_silhouette,scANVI,0.729056
randomly_missing_30,graph_conn,scANVI,0.998391
randomly_missing_30,NMI_cluster/label,scGEN,0.846952
randomly_missing_30,ARI_cluster/label,scGEN,0.731122
randomly_missing_30,ASW_label,scGEN,0.60174
randomly_missing_30,ASW_label/batch,scGEN,0.779115
randomly_missing_30,isolated_label_F1,scGEN,0.225806
randomly_missing_30,isolated_label_silhouette,scGEN,0.708335
randomly_missing_30,graph_conn,scGEN,0.951672
randomly_missing_30,NMI_cluster/label,STACAS,0.924813
randomly_missing_30,ARI_cluster/label,STACAS,0.956625
randomly_missing_30,ASW_label,STACAS,0.681575
randomly_missing_30,ASW_label/batch,STACAS,0.865256
randomly_missing_30,isolated_label_F1,STACAS,0.12766
randomly_missing_30,isolated_label_silhouette,STACAS,0.689456
randomly_missing_30,graph_conn,STACAS,0.985888
randomly_missing_50,NMI_cluster/label,scANVI,0.924256
randomly_missing_50,ARI_cluster/label,scANVI,0.950094
randomly_missing_50,ASW_label,scANVI,0.589317
randomly_missing_50,ASW_label/batch,scANVI,0.881127
randomly_missing_50,isolated_label_F1,scANVI,0.12963
randomly_missing_50,isolated_label_silhouette,scANVI,0.75358
randomly_missing_50,graph_conn,scANVI,0.992829
randomly_missing_50,NMI_cluster/label,scGEN,0.816095
randomly_missing_50,ARI_cluster/label,scGEN,0.633165
randomly_missing_50,ASW_label,scGEN,0.592262
randomly_missing_50,ASW_label/batch,scGEN,0.804825
randomly_missing_50,isolated_label_F1,scGEN,0.142857
randomly_missing_50,isolated_label_silhouette,scGEN,0.673346
randomly_missing_50,graph_conn,scGEN,0.890753
randomly_missing_50,NMI_cluster/label,STACAS,0.926576
randomly_missing_50,ARI_cluster/label,STACAS,0.957389
randomly_missing_50,ASW_label,STACAS,0.680147
randomly_missing_50,ASW_label/batch,STACAS,0.861147
randomly_missing_50,isolated_label_F1,STACAS,0.12766
randomly_missing_50,isolated_label_silhouette,STACAS,0.698635
randomly_missing_50,graph_conn,STACAS,0.985059
randomly_missing_70,NMI_cluster/label,scANVI,0.926549
randomly_missing_70,ARI_cluster/label,scANVI,0.953269
randomly_missing_70,ASW_label,scANVI,0.614223
randomly_missing_70,ASW_label/batch,scANVI,0.875977
randomly_missing_70,isolated_label_F1,scANVI,0.141414
randomly_missing_70,isolated_label_silhouette,scANVI,0.712473
randomly_missing_70,graph_conn,scANVI,0.993936
randomly_missing_70,NMI_cluster/label,scGEN,0.800711
randomly_missing_70,ARI_cluster/label,scGEN,0.61793
randomly_missing_70,ASW_label,scGEN,0.580795
randomly_missing_70,ASW_label/batch,scGEN,0.84968
randomly_missing_70,isolated_label_F1,scGEN,0.141414
randomly_missing_70,isolated_label_silhouette,scGEN,0.691781
randomly_missing_70,graph_conn,scGEN,0.950571
randomly_missing_70,NMI_cluster/label,STACAS,0.926484
randomly_missing_70,ARI_cluster/label,STACAS,0.957148
randomly_missing_70,ASW_label,STACAS,0.677677
randomly_missing_70,ASW_label/batch,STACAS,0.860068
randomly_missing_70,isolated_label_F1,STACAS,0.12766
randomly_missing_70,isolated_label_silhouette,STACAS,0.69354
randomly_missing_70,graph_conn,STACAS,0.986186
full_annotated_supervised,truepos_rate,scANVI,0.150408985
full_annotated_supervised,truepos_rate,scGEN,0.140153827
full_annotated_supervised,truepos_rate,STACAS,0.125381516
CellAssign,truepos_rate,scANVI,0.107984373
CellAssign,truepos_rate,scGEN,0.02667562
CellAssign,truepos_rate,STACAS,0.060126969
Azimuth,truepos_rate,scANVI,0.140092785
Azimuth,truepos_rate,scGEN,0.156024905
Azimuth,truepos_rate,STACAS,0.06366744
