type,metric,method,score
mixing_at_edge_30,NMI_cluster/label,STACAS,0.770879
mixing_at_edge_30,ARI_cluster/label,STACAS,0.672562
mixing_at_edge_30,ASW_label,STACAS,0.597939
mixing_at_edge_30,ASW_label/batch,STACAS,0.843112
mixing_at_edge_30,isolated_label_F1,STACAS,0.840979
mixing_at_edge_30,isolated_label_silhouette,STACAS,0.626805
mixing_at_edge_30,graph_conn,STACAS,0.970089
partially_annotated_batches_70,NMI_cluster/label,scANVI,0.784242
partially_annotated_batches_70,ARI_cluster/label,scANVI,0.685082
partially_annotated_batches_70,ASW_label,scANVI,0.579852
partially_annotated_batches_70,ASW_label/batch,scANVI,0.885761
partially_annotated_batches_70,isolated_label_F1,scANVI,0.705416
partially_annotated_batches_70,isolated_label_silhouette,scANVI,0.568666
partially_annotated_batches_70,graph_conn,scANVI,0.976831
partially_annotated_batches_70,NMI_cluster/label,scGEN,0.714409
partially_annotated_batches_70,ARI_cluster/label,scGEN,0.499146
partially_annotated_batches_70,ASW_label,scGEN,0.555535
partially_annotated_batches_70,ASW_label/batch,scGEN,0.883324
partially_annotated_batches_70,isolated_label_F1,scGEN,0.705144
partially_annotated_batches_70,isolated_label_silhouette,scGEN,0.57786
partially_annotated_batches_70,graph_conn,scGEN,0.953738
partially_annotated_batches_70,NMI_cluster/label,STACAS,0.746466
partially_annotated_batches_70,ARI_cluster/label,STACAS,0.612664
partially_annotated_batches_70,ASW_label,STACAS,0.580935
partially_annotated_batches_70,ASW_label/batch,STACAS,0.853413
partially_annotated_batches_70,isolated_label_F1,STACAS,0.825545
partially_annotated_batches_70,isolated_label_silhouette,STACAS,0.596334
partially_annotated_batches_70,graph_conn,STACAS,0.959807
partially_annotated_batches_50,NMI_cluster/label,scANVI,0.78561
partially_annotated_batches_50,ARI_cluster/label,scANVI,0.681505
partially_annotated_batches_50,ASW_label,scANVI,0.581851
partially_annotated_batches_50,ASW_label/batch,scANVI,0.889009
partially_annotated_batches_50,isolated_label_F1,scANVI,0.815567
partially_annotated_batches_50,isolated_label_silhouette,scANVI,0.561062
partially_annotated_batches_50,graph_conn,scANVI,0.975931
partially_annotated_batches_50,NMI_cluster/label,scGEN,0.718556
partially_annotated_batches_50,ARI_cluster/label,scGEN,0.463458
partially_annotated_batches_50,ASW_label,scGEN,0.553756
partially_annotated_batches_50,ASW_label/batch,scGEN,0.881736
partially_annotated_batches_50,isolated_label_F1,scGEN,0.890815
partially_annotated_batches_50,isolated_label_silhouette,scGEN,0.582733
partially_annotated_batches_50,graph_conn,scGEN,0.954722
