file_path,embedding_key,metric,score
full_annotated_supervised,scGEN,pos_rate,0.993069764
full_annotated_supervised,STACAS,pos_rate,0.989505643
partially_annotated_batches_70,scANVI,pos_rate,0.991089697
partially_annotated_batches_70,scGEN,pos_rate,0.982542406
partially_annotated_batches_70,STACAS,pos_rate,0.987723583
partially_annotated_batches_50,scANVI,pos_rate,0.992178734
partially_annotated_batches_50,scGEN,pos_rate,0.984027457
partially_annotated_batches_50,STACAS,pos_rate,0.988581612
partially_annotated_batches_30,scANVI,pos_rate,0.9911887
partially_annotated_batches_30,scGEN,pos_rate,0.988878622
partially_annotated_batches_30,STACAS,pos_rate,0.989208633
mixing_at_edge_30,scANVI,pos_rate,0.985941522
mixing_at_edge_30,scGEN,pos_rate,0.981882384
mixing_at_edge_30,STACAS,pos_rate,0.988713616
mixing_at_edge_50,scANVI,pos_rate,0.987096561
mixing_at_edge_50,scGEN,pos_rate,0.982707412
mixing_at_edge_50,STACAS,pos_rate,0.988020593
mixing_at_edge_70,scANVI,pos_rate,0.988482608
mixing_at_edge_70,scGEN,pos_rate,0.987327569
mixing_at_edge_70,STACAS,pos_rate,0.988614613
randomly_missing_30,scANVI,pos_rate,0.991155699
randomly_missing_30,scGEN,pos_rate,0.982443403
randomly_missing_30,STACAS,pos_rate,0.988548611
randomly_missing_50,scANVI,pos_rate,0.990330671
randomly_missing_50,scGEN,pos_rate,0.978318263
randomly_missing_50,STACAS,pos_rate,0.98910963
randomly_missing_70,scANVI,pos_rate,0.98970365
randomly_missing_70,scGEN,pos_rate,0.977196225
randomly_missing_70,STACAS,pos_rate,0.988251601
full_annotated_supervised,scANVI,truepos_rate,0.170351792
full_annotated_supervised,scGEN,truepos_rate,0.672430863
full_annotated_supervised,STACAS,truepos_rate,0.182925219
partially_annotated_batches_70,scANVI,truepos_rate,0.176523002
partially_annotated_batches_70,scGEN,truepos_rate,0.004092139
partially_annotated_batches_70,STACAS,truepos_rate,0.23559501
partially_annotated_batches_50,scANVI,truepos_rate,0.175565969
partially_annotated_batches_50,scGEN,truepos_rate,0.193683585
partially_annotated_batches_50,STACAS,truepos_rate,0.204771962
partially_annotated_batches_30,scANVI,truepos_rate,0.172331859
partially_annotated_batches_30,scGEN,truepos_rate,0.250247508
partially_annotated_batches_30,STACAS,truepos_rate,0.188007392
mixing_at_edge_30,scANVI,truepos_rate,0.174245924
mixing_at_edge_30,scGEN,truepos_rate,0.638637714
mixing_at_edge_30,STACAS,truepos_rate,0.196356676
mixing_at_edge_50,scANVI,truepos_rate,0.177711042
mixing_at_edge_50,scGEN,truepos_rate,0.651343146
mixing_at_edge_50,STACAS,truepos_rate,0.206422018
mixing_at_edge_70,scANVI,truepos_rate,0.180714144
mixing_at_edge_70,scGEN,truepos_rate,0.655567289
mixing_at_edge_70,STACAS,truepos_rate,0.195795657
randomly_missing_30,scANVI,truepos_rate,0.167249686
randomly_missing_30,scGEN,truepos_rate,0.541053396
randomly_missing_30,STACAS,truepos_rate,0.240017161
randomly_missing_50,scANVI,truepos_rate,0.186225332
randomly_missing_50,scGEN,truepos_rate,0.477724243
randomly_missing_50,STACAS,truepos_rate,0.246782391
randomly_missing_70,scANVI,truepos_rate,0.175631971
randomly_missing_70,scGEN,truepos_rate,0.320143885
randomly_missing_70,STACAS,truepos_rate,0.268662135
